@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureAttributesUsed numeric
@attribute measureNumIterations numeric
@attribute measureOutOfBagError numeric

@data

data_eda,2,10,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,20221028.1329,371,41,22,19,0,53.658537,46.341463,0,0.29946,0.284138,0.377598,83.172353,91.517976,71.869455,60.442912,11.426543,1.752914,1.474217,0.278696,18.907761,0.461165,26.30848,0.571429,8,0.148148,4,0.851852,23,0.428571,6,0.666667,0.571429,0.615385,0.441148,0.761905,0.733574,0.536585,0.249734,0.750266,0.463415,0.55633,0.536585,0.535911,0.305457,0.721076,0.593653,0.549398,0.536585,0.037,0,0.046875,0,46.875,0,11300,69797,10067,97.560976,76.829268,?,100,26,?
data_eda,3,1,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,20221028.1329,370,42,19,23,0,45.238095,54.761905,0,0.170103,0.311732,0.414967,90.982525,100.24461,74.038867,77.566004,-3.527137,1.76283,1.84681,-0.083979,12.135514,0.288941,16.390734,0.642857,9,0.321429,9,0.678571,19,0.357143,5,0.5,0.642857,0.5625,0.306186,0.673469,0.600449,0.452381,0.283425,0.716575,0.547619,?,0.452381,?,?,0.628897,0.476136,?,0.452381,0.031,0,0.03125,0,31.25,0,11300,69616,10248,92.857143,76.785714,?,95.454545,15,?
data_eda,3,2,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,20221028.1329,370,42,18,24,0,42.857143,57.142857,0,0.142128,0.302361,0.400224,87.782758,96.111738,76.158478,82.454492,-6.296014,1.813297,1.963202,-0.149905,13.213726,0.314613,17.350303,0.714286,10,0.25,7,0.75,21,0.285714,4,0.588235,0.714286,0.645161,0.445896,0.836735,0.713106,0.428571,0.283467,0.716533,0.571429,?,0.428571,?,?,0.64252,0.507924,?,0.428571,0.034,0,0.03125,0,31.25,0,11300,69616,10248,92.857143,76.190476,?,86.363636,13,?
data_eda,3,3,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,20221028.1329,371,41,25,16,0,60.97561,39.02439,0,0.402005,0.280949,0.364059,82.238669,88.236496,71.869455,56.863438,15.006017,1.752914,1.386913,0.366,19.273103,0.470076,26.816821,0.785714,11,0.148148,4,0.851852,23,0.214286,3,0.733333,0.785714,0.758621,0.627681,0.867725,0.795186,0.609756,0.211654,0.788346,0.390244,?,0.609756,?,?,0.778407,0.678715,?,0.609756,0.031,0,0.03125,0,31.25,0,11300,69797,10067,97.560976,84.756098,?,63.636364,7,?
data_eda,3,4,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,20221028.1329,371,41,14,27,0,34.146341,65.853659,0,-0.020276,0.332494,0.434964,97.326998,105.421788,71.869455,78.952582,-7.083127,1.752914,1.925673,-0.172759,5.959782,0.145361,8.292511,0.357143,5,0.407407,11,0.592593,16,0.642857,9,0.3125,0.357143,0.333333,-0.048863,0.597884,0.408585,0.341463,0.362621,0.637379,0.658537,?,0.341463,?,?,0.552282,0.378144,?,0.341463,0.037,0,0.03125,0,31.25,0,11300,69797,10067,95.121951,84.756098,?,36.363636,3,?
data_eda,3,5,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,20221028.1329,371,41,26,15,0,63.414634,36.585366,0,0.42577,0.273329,0.361365,80.008365,87.583616,71.869455,56.030185,15.83927,1.752914,1.36659,0.386324,18.817026,0.458952,26.18223,0.857143,12,0.148148,4,0.851852,23,0.142857,2,0.75,0.857143,0.8,0.689222,0.912698,0.89237,0.634146,0.213544,0.786456,0.365854,?,0.634146,?,?,0.790778,0.621856,?,0.634146,0.027,0,0.03125,0,31.25,0,11300,69797,10067,97.560976,81.097561,?,50,4,?
data_eda,3,6,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,20221028.1329,371,41,29,12,0,70.731707,29.268293,0,0.558744,0.248284,0.33487,72.614958,81.083914,71.977118,48.962534,23.014584,1.755539,1.194208,0.561331,27.688036,0.675318,38.467831,0.8,12,0.192308,5,0.807692,21,0.2,3,0.705882,0.8,0.75,0.594136,0.902564,0.876222,0.707317,0.154432,0.845568,0.292683,0.711621,0.707317,0.698374,0.566978,0.871599,0.797691,0.675,0.707317,0.029,0,0.03125,0,31.25,0,11300,69797,10067,97.560976,79.268293,?,100,17,?
data_eda,3,7,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,20221028.1329,371,41,23,18,0,56.097561,43.902439,0,0.315399,0.292929,0.397288,85.672046,96.197471,71.977118,67.244594,4.732524,1.755539,1.640112,0.115427,15.650557,0.381721,21.743795,0.666667,10,0.153846,4,0.846154,22,0.333333,5,0.714286,0.666667,0.689655,0.520897,0.807692,0.649033,0.560976,0.253283,0.746717,0.439024,?,0.560976,?,?,0.700106,0.534747,?,0.560976,0.034,0,0.03125,0,31.25,0,11300,69797,10067,95.121951,75.609756,?,81.818182,11,?
data_eda,3,8,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,20221028.1329,371,41,18,23,0,43.902439,56.097561,0,0.134862,0.304421,0.421652,89.033011,102.096921,71.977118,72.358616,-0.381498,1.755539,1.764844,-0.009305,14.952237,0.364689,20.773597,0.733333,11,0.423077,11,0.576923,15,0.266667,4,0.5,0.733333,0.594595,0.299685,0.712821,0.605486,0.439024,0.302005,0.697995,0.560976,?,0.439024,?,?,0.623339,0.458149,?,0.439024,0.05,0,0.0625,0,62.5,0,11300,69797,10067,97.560976,73.170732,?,100,49,?
data_eda,3,9,weka.classifiers.functions.SimpleLogistic,'-I 0 -M 500 -H 50 -W 0.0',7397710626304705059,20221028.1329,371,41,20,21,0,48.780488,51.219512,0,0.218693,0.281706,0.372645,82.389698,90.230614,71.977118,58.166077,13.811041,1.755539,1.418685,0.336855,16.733911,0.408144,23.248932,0.733333,11,0.153846,4,0.846154,22,0.266667,4,0.733333,0.733333,0.733333,0.579487,0.897436,0.853775,0.487805,0.259439,0.740561,0.512195,?,0.487805,?,?,0.766241,0.625741,?,0.487805,0.031,0,0.03125,0,31.25,0,11300,69797,10067,97.560976,76.829268,?,90.909091,12,?
